id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3521176880,风云,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1395487093.jpg,2002-06-08(中国大陆),https://movie.douban.com/subject/2982064/,7.7,"动作,奇幻,武侠",4,,,2022-10-05 22:51:00,2002 / 中国大陆 / 动作 奇幻 武侠 / 徐进良 / 赵文卓 何润东
3521175785,金蚕丝雨,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2374999078.jpg,2002-10-01,https://movie.douban.com/subject/3098693/,7.1,"剧情,古装",4,,,2022-10-05 22:50:14,2002 / 中国大陆 / 剧情 古装 / 汪俊 方芬 / 吴京 李小冉
3521173878,琅琊榜,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2271982968.jpg,2015-09-19(中国大陆),https://movie.douban.com/subject/25754848/,9.4,"剧情,古装",4,,,2022-10-05 22:49:02,2015 / 中国大陆 / 剧情 古装 / 孔笙 李雪 / 胡歌 刘涛
3521173127,萧十一郎,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2190567789.jpg,2002-06-10(中国大陆),https://movie.douban.com/subject/2347271/,7.6,"剧情,武侠,古装",4,,,2022-10-05 22:48:33,2002 / 中国大陆 / 剧情 武侠 古装 / 黎文彦 / 吴奇隆 朱茵
3521172743,风云2,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2510921940.jpg,2005,https://movie.douban.com/subject/5355142/,6.5,"剧情,武侠",4,,,2022-10-05 22:48:18,2005 / 中国大陆 / 剧情 武侠 / 李惠民 / 赵文卓 何润东
3521170812,还珠格格第三部,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2373061658.jpg,2003-07-03(中国大陆),https://movie.douban.com/subject/2214122/,5.4,"剧情,爱情,古装",4,,,2022-10-05 22:47:18,2003 / 中国大陆 中国香港 中国台湾 / 剧情 爱情 古装 / 李平 丁仰国 / 黄奕 古巨基
3521170444,还珠格格第二部,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2710067098.jpg,1999-07-25(中国大陆),https://movie.douban.com/subject/1786740/,8,"剧情,喜剧,动作",4,,,2022-10-05 22:47:08,1999 / 中国台湾 中国大陆 / 剧情 喜剧 动作 爱情 古装 / 李平 孙树培 / 苏有朋 张铁林
3521170129,还珠格格,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2370846705.jpg,1998-10-28(中国大陆),https://movie.douban.com/subject/1786739/,8.5,"剧情,喜剧,动作",4,,,2022-10-05 22:46:53,1998 / 中国台湾 中国大陆 / 剧情 喜剧 动作 爱情 古装 / 孙树培 / 苏有朋 林心如
3521169759,刁蛮公主,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2371418542.jpg,2006-01-25(中国大陆),https://movie.douban.com/subject/2327494/,7,"喜剧,爱情,古装",3,,,2022-10-05 22:46:38,2006 / 中国大陆 / 喜剧 爱情 古装 / 赖水清 / 苏有朋 张娜拉
3521168057,欢天喜地七仙女,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2371419797.jpg,2005-07-20(中国大陆),https://movie.douban.com/subject/2997317/,7.8,"剧情,喜剧",4,,,2022-10-05 22:45:33,2005 / 中国大陆 / 剧情 喜剧 / 胡贝易 江天 陈咏歌 / 霍思燕 郑国霖
3521165827,天涯明月刀,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1578112649.jpg,2012-06-20,https://movie.douban.com/subject/6393366/,6.3,"爱情,武侠,古装",3,,,2022-10-05 22:44:12,2012 / 中国大陆 / 爱情 武侠 古装 / 赖水清 / 钟汉良 张檬
3521164512,隋唐英雄传,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1926866907.jpg,2003-10-10(中国大陆),https://movie.douban.com/subject/2364060/,8,"剧情,动作,古装",4,,,2022-10-05 22:43:26,2003 / 中国大陆 / 剧情 动作 古装 / 胡明凯 / 黄海冰 聂远
